PERIOD,YEAR,STATS_VALUE
January,1992,17.5
February,1992,16
March,1992,13.8
April,1992,9.9
May,1992,6.8
June,1992,4.6
July,1992,6.3
August,1992,6.1
September,1992,7.4
October,1992,10.4
November,1992,14.3
December,1992,14.4
